사용일자,노선명,역명,승차총승객수,하차총승객수
20241001,안산선,상록수,10728,11177
20241001,안산선,한대앞,7241,7761
20241001,안산선,중앙,14375,14711
20241001,안산선,고잔,5913,5571
20241001,안산선,초지,3385,3380
20241001,안산선,안산,8791,8410
20241001,안산선,신길온천,1598,1586
20241001,안산선,정왕,6493,6676
20241001,안산선,오이도,6796,6792
20241001,안산선,수리산,2770,2374
20241001,우이신설선,북한산우이,2867,2822
20241001,우이신설선,솔밭공원,2010,1962
20241001,우이신설선,4.19민주묘지,2660,2385
20241001,우이신설선,가오리,2990,3028
20241001,우이신설선,화계,2706,2546
20241001,우이신설선,삼양,1684,1727
20241001,우이신설선,삼양사거리,2036,2007
20241001,우이신설선,솔샘,3866,3682
20241001,우이신설선,북한산보국문,4982,4534
20241001,우이신설선,정릉,3708,3165
20241001,우이신설선,성신여대입구(돈암),3146,3429
20241001,우이신설선,보문,1272,1291
20241001,우이신설선,신설동,1695,1512
20241001,일산선,원흥,7698,7389
20241001,일산선,삼송,13563,13032
20241001,일산선,원당,7914,7681
20241001,일산선,화정,12359,12827
20241001,일산선,대곡,2094,1761
20241001,일산선,백석,7090,7262
20241001,일산선,마두,5309,5394
20241001,일산선,정발산,5870,5979
20241001,일산선,주엽,7043,7329
20241001,일산선,대화,8587,7453
20241001,장항선,봉명,1052,1060
20241001,장항선,쌍용(나사렛대),1917,1829
20241001,장항선,아산,3635,2903
20241001,장항선,탕정,1348,1327
20241001,장항선,배방,987,1044
20241001,장항선,온양온천,3935,4014
20241001,장항선,신창(순천향대),1485,1501
20241001,중앙선,회기,20834,20212
20241001,중앙선,중랑,4191,4028
20241001,중앙선,상봉,4449,4455
20241001,2호선,잠실새내,16544,16380
20241001,2호선,종합운동장,5836,6623
20241001,2호선,삼성(무역센터),25651,25201
20241001,2호선,역삼,17294,18950
20241001,2호선,강남,47850,47270
20241001,2호선,교대(법원.검찰청),14806,17755
20241001,2호선,서초,8854,8214
20241001,2호선,방배,8786,9159
20241001,2호선,사당,29697,31545
20241001,2호선,낙성대(강감찬),19118,18714
20241001,2호선,서울대입구(관악구청),32890,32287
20241001,2호선,봉천,16798,15745
20241001,2호선,신림,41082,40428
20241001,2호선,신대방,18534,17977
20241001,2호선,구로디지털단지,33291,32669
20241001,2호선,대림(구로구청),18103,18626
20241001,2호선,신도림,33663,33306
20241001,2호선,문래,11427,11953
20241001,2호선,영등포구청,11460,11905
20241001,2호선,당산,11775,12946
20241001,2호선,합정,24345,25966
20241001,2호선,홍대입구,68567,72884
20241001,2호선,신촌,33572,34476
20241001,2호선,이대,12416,13650
20241001,2호선,아현,8690,7884
20241001,2호선,충정로(경기대입구),5523,5445
