사용일자,노선명,역명,승차총승객수,하차총승객수
20240801,9호선2~3단계,선정릉,10597,11273
20240801,2호선,낙성대(강감찬),27959,26793
20240801,2호선,서울대입구(관악구청),46761,45609
20240801,2호선,봉천,24566,23000
20240801,2호선,신림,56570,54496
20240801,2호선,신대방,25469,24317
20240801,2호선,구로디지털단지,59307,58730
20240801,2호선,대림(구로구청),23873,24102
20240801,2호선,신도림,51546,50082
20240801,2호선,문래,23777,24293
20240801,2호선,영등포구청,22678,23288
20240801,2호선,당산,18029,20740
20240801,2호선,합정,32862,35523
20240801,2호선,홍대입구,73500,78536
20240801,2호선,신촌,37087,37533
20240801,2호선,이대,14892,16398
20240801,2호선,아현,10686,9946
20240801,2호선,충정로(경기대입구),10637,11070
20240801,2호선,용답,2826,2711
20240801,2호선,신답,1629,1820
20240801,2호선,신설동,3191,3112
20240801,2호선,도림천,1264,1372
20240801,2호선,양천구청,6644,6875
20240801,2호선,신정네거리,9916,10320
20240801,2호선,용두(동대문구청),2457,2529
20240801,3호선,지축,7336,7254
20240801,3호선,구파발,22390,21551
20240801,3호선,연신내,33552,31841
20240801,3호선,불광,16440,17485
20240801,3호선,녹번,15290,13915
20240801,3호선,홍제,17391,16458
20240801,3호선,무악재,4562,4287
20240801,3호선,독립문,7839,7785
20240801,3호선,경복궁(정부서울청사),24408,25018
20240801,3호선,안국,27028,27866
20240801,3호선,종로3가,7908,9044
20240801,3호선,을지로3가,11560,11518
20240801,3호선,충무로,14,0
20240801,3호선,동대입구,8516,9489
20240801,3호선,약수,12905,12449
20240801,3호선,금호,7978,7352
20240801,3호선,옥수,8616,8843
20240801,3호선,압구정,31470,33490
20240801,3호선,신사,28156,29609
20240801,3호선,잠원,5106,4915
20240801,3호선,고속터미널,48883,48187
20240801,3호선,교대(법원.검찰청),16753,10208
20240801,3호선,남부터미널(예술의전당),30462,31425
20240801,3호선,양재(서초구청),37516,40567
20240801,3호선,매봉,13042,12492
20240801,3호선,도곡,5665,5392
20240801,3호선,대치,12938,12618
20240801,3호선,학여울,1805,1871
20240801,3호선,대청,10737,9951
20240801,3호선,일원,10991,10574
20240801,3호선,수서,17916,18236
20240801,3호선,가락시장,9056,8735
20240801,3호선,경찰병원,7694,7804
20240801,3호선,오금,6829,5893
20240801,4호선,당고개,9646,8331
20240801,4호선,상계,18819,17313
20240801,4호선,노원,27859,31157
20240801,4호선,창동,25664,27090
20240801,4호선,쌍문,28958,26691
20240801,4호선,수유(강북구청),33331,32962
20240801,4호선,미아(서울사이버대학),14604,14035
20240801,4호선,미아사거리,26172,25791
20240801,4호선,길음,21109,20283
20240801,4호선,성신여대입구(돈암),20973,20326
20240801,4호선,한성대입구(삼선교),12702,11954
20240801,4호선,혜화,35313,36052
20240801,4호선,동대문,22783,23529
20240801,4호선,동대문역사문화공원(DDP),21790,18979
20240801,4호선,충무로,28630,29896
20240801,4호선,명동,34481,36854
20240801,4호선,회현(남대문시장),29379,29472
20240801,4호선,서울역,13902,24420
20240801,4호선,숙대입구(갈월),14164,13666
20240801,4호선,삼각지,6564,7411
20240801,4호선,신용산,20327,22365
20240801,4호선,이촌(국립중앙박물관),10857,11629
20240801,4호선,동작(현충원),1298,1403
20240801,4호선,총신대입구(이수),18475,20242
20240801,4호선,사당,26859,22965
20240801,4호선,남태령,1374,1205
20240801,5호선,방화,7196,6804
20240801,5호선,개화산,6175,5876
20240801,5호선,김포공항,12129,8703
20240801,5호선,송정,6453,6112
20240801,5호선,마곡,12299,12464
20240801,5호선,발산,23155,23640
20240801,5호선,우장산,14442,14310
20240801,5호선,화곡,28231,26279
20240801,5호선,까치산,27910,26761
20240801,5호선,신정(은행정),13275,10992
20240801,5호선,목동,16528,17688
20240801,5호선,오목교(목동운동장앞),20904,22045
20240801,5호선,양평,8051,7894
20240801,5호선,영등포구청,5021,4835
20240801,5호선,영등포시장,11525,11668
20240801,5호선,신길,5101,5229
20240801,5호선,여의도,32354,33499
20240801,5호선,여의나루,14968,17758
20240801,5호선,마포,15304,15522
20240801,5호선,공덕,14921,15826
20240801,5호선,애오개,6867,6661
20240801,5호선,충정로(경기대입구),4847,4911
20240801,5호선,서대문,20961,21383
20240801,5호선,광화문(세종문화회관),36382,38645
20240801,5호선,종로3가,14390,14404
20240801,5호선,을지로4가,5767,5877
20240801,5호선,동대문역사문화공원(DDP),3191,3748
20240801,5호선,청구,3876,3723
20240801,5호선,신금호,6050,6512
20240801,5호선,행당,7974,7030
20240801,5호선,왕십리(성동구청),4712,5398
20240801,5호선,마장,5748,5390
20240801,5호선,답십리,15871,14405
20240801,5호선,장한평,19695,19380
20240801,5호선,군자(능동),11134,12268
20240801,5호선,아차산(어린이대공원후문),13861,13624
20240801,5호선,광나루(장신대),12923,11629
20240801,5호선,천호(풍납토성),19827,19516
20240801,5호선,강동,18847,18259
20240801,5호선,길동,8317,8426
20240801,5호선,굽은다리(강동구민회관앞),10016,9693
20240801,5호선,명일,8392,8656
20240801,5호선,고덕,10827,10428
20240801,5호선,상일동,14780,13949
20240801,5호선,둔촌동,8706,8657
20240801,5호선,올림픽공원(한국체대),4907,4175
20240801,5호선,방이,7313,7574
20240801,5호선,오금,3612,3714
20240801,5호선,개롱,6553,6711
20240801,5호선,거여,10143,9800
20240801,5호선,마천,7266,6606
20240801,5호선,강일,5957,5587
20240801,5호선,미사,17973,18152
20240801,5호선,하남풍산,4430,4460
20240801,5호선,하남시청(덕풍·신장),7916,7541
20240801,5호선,하남검단산,6511,6174
20240801,6호선,응암,17744,17452
20240801,6호선,역촌,3911,4574
20240801,6호선,불광,5016,4721
20240801,6호선,독바위,2848,2997
20240801,6호선,연신내,4,0
20240801,6호선,구산,8238,6282
20240801,6호선,새절(신사),12771,11578
20240801,6호선,증산(명지대앞),9729,9593
20240801,6호선,디지털미디어시티,15034,16485
20240801,6호선,월드컵경기장(성산),4748,4675
20240801,6호선,마포구청,14935,13583
20240801,6호선,망원,15307,16265
20240801,6호선,합정,13844,13307
20240801,6호선,상수,10181,11356
20240801,6호선,광흥창(서강),9414,8953
20240801,6호선,대흥(서강대앞),8569,8843
20240801,6호선,공덕,19599,19261
20240801,6호선,효창공원앞,6925,6102
20240801,6호선,삼각지,7969,6800
20240801,6호선,녹사평(용산구청),5159,5164
20240801,6호선,이태원,10800,11574
20240801,6호선,한강진,9314,11043
20240801,6호선,버티고개,2118,2169
20240801,6호선,약수,3961,3741
20240801,6호선,청구,4034,3792
20240801,6호선,신당,9000,9241
20240801,6호선,동묘앞,8501,8983
20240801,6호선,창신,3422,2736
20240801,6호선,보문,7912,7234
20240801,6호선,안암(고대병원앞),11342,11212
20240801,6호선,고려대(종암),8626,8239
20240801,6호선,월곡(동덕여대),11811,11517
20240801,6호선,상월곡(한국과학기술연구원),6901,6422
20240801,6호선,돌곶이,10216,9462
20240801,6호선,석계,12260,12329
20240801,6호선,태릉입구,5411,6085
20240801,6호선,화랑대(서울여대입구),11519,8910
20240801,6호선,봉화산(서울의료원),9033,8453
20240801,6호선,신내,1,0
20240801,7호선,장암,2826,1229
20240801,7호선,도봉산,8868,10237
20240801,7호선,수락산,12594,12379
20240801,7호선,마들,13157,12292
20240801,7호선,노원,24146,24964
20240801,7호선,중계,14372,12846
20240801,7호선,하계,17586,16312
20240801,7호선,공릉(서울과학기술대),11348,11387
20240801,7호선,태릉입구,8697,8207
20240801,7호선,먹골,10239,10272
20240801,7호선,중화,10278,10114
20240801,7호선,상봉,17707,17160
20240801,7호선,면목,14614,13785
20240801,7호선,사가정,15853,15969
20240801,7호선,용마산(용마폭포공원),5825,5601
20240801,7호선,중곡,10756,10315
20240801,7호선,군자(능동),15589,12290
20240801,7호선,어린이대공원(세종대),13763,13578
20240801,7호선,건대입구,13287,13475
20240801,7호선,자양(뚝섬한강공원),9465,9180
20240801,7호선,청담,19084,20919
20240801,7호선,강남구청,16784,18532
20240801,7호선,학동,24945,25736
20240801,7호선,논현,18992,19554
20240801,7호선,반포,6345,6071
20240801,7호선,고속터미널,17783,14989
20240801,7호선,내방,15058,14976
20240801,7호선,이수,16500,16008
20240801,7호선,남성,11255,10705
20240801,7호선,숭실대입구(살피재),12169,12166
20240801,7호선,상도,11145,10730
20240801,7호선,장승배기,9183,8877
20240801,7호선,신대방삼거리,14831,14233
20240801,7호선,보라매,6455,6677
20240801,7호선,신풍,10832,10084
20240801,7호선,대림(구로구청),9155,9298
20240801,7호선,남구로,14996,15828
20240801,7호선,가산디지털단지,46121,45959
20240801,7호선,철산,21378,21803
20240801,7호선,광명사거리,19484,19072
20240801,7호선,천왕,11402,10954
20240801,7호선,온수(성공회대입구),8911,7975
20240801,8호선,암사,19155,17033
20240801,8호선,천호(풍납토성),15669,17676
20240801,8호선,강동구청,10366,10721
20240801,8호선,몽촌토성(평화의문),7099,7256
20240801,8호선,잠실(송파구청),17910,21046
20240801,8호선,석촌,8218,9408
20240801,8호선,송파,9159,9230
20240801,8호선,가락시장,7773,8546
20240801,8호선,문정,22898,23786
20240801,8호선,장지,17864,16633
20240801,8호선,복정,9284,7910
20240801,8호선,산성,6240,6372
20240801,8호선,남한산성입구(성남법원.검찰청),12655,11175
20240801,8호선,단대오거리,11645,11526
20240801,8호선,신흥,5315,5421
20240801,8호선,수진,5322,4915
20240801,8호선,모란,4677,3554
20240801,8호선,남위례,7021,6974
20240801,9호선,개화,2868,1906
20240801,9호선,김포공항,7771,10495
20240801,9호선,공항시장,3173,3384
20240801,9호선,신방화,7134,6988
20240801,9호선,마곡나루(서울식물원),14267,13907
20240801,9호선,양천향교,10378,10473
20240801,9호선,가양,22697,22116
20240801,9호선,증미,8832,8491
20240801,9호선,등촌,12820,12201
20240801,9호선,염창,18492,17540
20240801,9호선,신목동,4547,3989
20240801,9호선,선유도,9304,8928
20240801,9호선,당산,20567,20202
20240801,9호선,국회의사당,17658,18335
20240801,9호선,여의도,34650,32984
20240801,9호선,샛강,6739,6961
20240801,9호선,노량진,26106,25293
20240801,9호선,노들,4913,4072
20240801,9호선,흑석(중앙대입구),8360,8616
20240801,9호선,동작(현충원),1869,1531
20240801,9호선,구반포,1302,1248
20240801,9호선,신반포,4009,4040
20240801,9호선,고속터미널,15537,21959
20240801,9호선,사평,3956,3813
20240801,9호선,신논현,33019,33461
20240801,9호선2~3단계,언주,12678,12991
20240801,2호선,사당,41172,44729
20240801,9호선2~3단계,삼성중앙,8313,8946
20240801,9호선2~3단계,봉은사,25259,26027
20240801,9호선2~3단계,종합운동장,5239,5391
20240801,9호선2~3단계,삼전,8421,7858
20240801,9호선2~3단계,석촌고분,7520,7349
20240801,9호선2~3단계,석촌,9888,8804
20240801,9호선2~3단계,송파나루,5943,6420
20240801,9호선2~3단계,한성백제,3329,3016
20240801,중앙선,지평,50,70
20240801,중앙선,용문,2189,2373
20240801,중앙선,원덕,330,328
20240801,중앙선,양평,3104,3095
20240801,중앙선,오빈,309,295
20240801,중앙선,아신,543,540
20240801,중앙선,국수,658,663
20240801,중앙선,신원,193,172
20240801,중앙선,양수,1963,1992
20240801,중앙선,운길산,649,626
20240801,중앙선,팔당,820,918
20240801,중앙선,도심,2346,1859
20240801,중앙선,덕소,5227,5047
20240801,중앙선,양정,547,458
20240801,중앙선,도농,10564,9824
20240801,중앙선,구리,13024,12941
20240801,중앙선,양원,2943,2812
20240801,중앙선,망우,7505,7161
20240801,중앙선,상봉,5819,5731
20240801,중앙선,중랑,5566,5288
20240801,장항선,봉명,1396,1357
20240801,일산선,대화,13590,10594
20240801,일산선,주엽,10150,10285
20240801,일산선,정발산,7194,7290
20240801,일산선,마두,8053,8201
20240801,일산선,백석,9950,10177
20240801,일산선,대곡,2893,2252
20240801,일산선,화정,16937,17270
20240801,일산선,원당,10676,10250
20240801,일산선,삼송,19126,18415
20240801,일산선,지축,5,0
20240801,일산선,원흥,11441,10720
20240801,우이신설선,신설동,2244,2084
20240801,우이신설선,보문,1609,1614
20240801,우이신설선,성신여대입구(돈암),3552,3798
20240801,우이신설선,정릉,4485,4162
20240801,우이신설선,북한산보국문,5908,5576
20240801,우이신설선,솔샘,5898,5573
20240801,우이신설선,삼양사거리,2481,2629
20240801,우이신설선,삼양,1972,2047
20240801,우이신설선,화계,3532,3411
20240801,우이신설선,가오리,4386,4346
20240801,우이신설선,4.19민주묘지,2999,2794
20240801,우이신설선,솔밭공원,2627,2495
20240801,우이신설선,북한산우이,2996,2807
20240801,안산선,수리산,3888,3148
20240801,안산선,오이도,8165,8160
20240801,안산선,정왕,8487,8463
20240801,안산선,신길온천,1957,1752
20240801,안산선,안산,13793,13697
20240801,안산선,초지,4911,4938
20240801,안산선,고잔,8395,7924
20240801,안산선,중앙,17858,18484
20240801,안산선,한대앞,8393,8278
20240801,안산선,상록수,13748,14028
20240801,안산선,반월,3917,3767
20240801,안산선,대야미,4732,4166
20240801,안산선,산본,15847,16877
20240801,신림선,관악산(서울대),3345,3265
20240801,신림선,서울대벤처타운,9505,8767
20240801,신림선,서원,3651,3249
20240801,신림선,신림,2180,2752
20240801,신림선,당곡,4988,4985
20240801,신림선,보라매병원,7553,7809
20240801,신림선,보라매공원,2322,2503
20240801,신림선,보라매,4110,3815
20240801,신림선,서울지방병무청,3143,3352
20240801,신림선,대방,2941,2342
20240801,신림선,샛강,2985,3427
20240801,수인선,인천,1379,2054
20240801,수인선,신포,1685,1677
20240801,수인선,숭의,3850,3473
20240801,수인선,인하대,5729,5476
20240801,수인선,송도,2206,2045
20240801,수인선,연수,4341,4558
20240801,수인선,원인재,4139,4276
20240801,수인선,남동인더스파크,1803,1897
20240801,수인선,호구포,3478,3499
20240801,수인선,인천논현,5131,5369
20240801,수인선,소래포구,4821,4494
20240801,수인선,월곶,3039,2853
20240801,수인선,달월,116,78
20240801,수인선,사리,4507,3810
20240801,수인선,야목,423,323
20240801,수인선,어천,1467,1369
20240801,수인선,오목천,3800,3303
20240801,수인선,고색,4792,4406
20240801,서해선,부천종합운동장,2556,2086
20240801,서해선,원종,4612,4499
20240801,서해선,김포공항,3223,4253
20240801,분당선,매교,4706,4660
20240801,분당선,수원시청,13537,14327
20240801,분당선,매탄권선,5037,4957
20240801,분당선,망포,14802,13930
20240801,분당선,영통,8621,8623
20240801,분당선,청명,4386,4235
20240801,분당선,상갈,5172,5054
20240801,분당선,기흥,10270,9234
20240801,분당선,신갈,4745,4730
20240801,분당선,구성,6137,6280
20240801,분당선,죽전,12223,13558
20240801,분당선,보정,2435,2103
20240801,분당선,이매,5158,5077
20240801,분당선,오리,11475,9833
20240801,분당선,미금,15338,15827
20240801,분당선,정자,17961,18532
20240801,분당선,수내,14071,14289
20240801,분당선,서현,24804,24893
20240801,분당선,야탑,25596,26933
20240801,분당선,모란,19250,19343
20240801,분당선,태평,13250,12598
20240801,분당선,가천대,6975,7208
20240801,분당선,선정릉,8131,8480
20240801,분당선,강남구청,9866,11310
20240801,분당선,압구정로데오,18941,20832
20240801,분당선,서울숲,13299,13506
20240801,분당선,수원,8509,7830
20240801,분당선,복정,9,0
20240801,분당선,수서,16408,17677
20240801,분당선,대모산입구,5929,5649
20240801,분당선,개포동,4360,4534
20240801,분당선,구룡,3409,3244
20240801,분당선,도곡,7469,7832
20240801,분당선,한티,16421,17425
20240801,분당선,선릉,14215,21417
20240801,과천선,범계,26766,26380
20240801,과천선,평촌,17661,16893
20240801,과천선,인덕원,24754,25515
20240801,과천선,정부과천청사,12459,13089
20240801,과천선,과천,6682,6087
20240801,과천선,대공원,3867,3982
20240801,과천선,경마공원,1328,1343
20240801,과천선,선바위,7535,6728
20240801,공항철도 1호선,영종,4261,4385
20240801,공항철도 1호선,인천공항2터미널,8120,6937
20240801,공항철도 1호선,인천공항1터미널,15984,14595
20240801,공항철도 1호선,공항화물청사,2210,2318
20240801,공항철도 1호선,운서,9568,10154
